title,source,sentence,normalized_text,sentence_list,candidate_block
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"NHS Business Services Authority an NHS body which calculates the remuneration and reimbursement due to pharmacies across England, and publishes data on prescribing.","nhs business services authority an nhs body which calculates the remuneration and reimbursement due to pharmacies across england, and publishes data on prescribing.","['nhs business services authority an nhs body which calculates the remuneration and reimbursement due to pharmacies across england, and publishes data on prescribing.']","nhs business services authority an nhs body which calculates the remuneration and reimbursement due to pharmacies across england, and publishes data on prescribing."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,National Patient Safety Agency (NPSA) The NPSA was an arm’s length body of the Department of Health with a mandate to identify patient safety issues and find appropriate solutions.,national patient safety agency (npsa) the npsa was an arm’s length body of the department of health with a mandate to identify patient safety issues and find appropriate solutions.,['national patient safety agency (npsa) the npsa was an arm’s length body of the department of health with a mandate to identify patient safety issues and find appropriate solutions.'],national patient safety agency (npsa) the npsa was an arm’s length body of the department of health with a mandate to identify patient safety issues and find appropriate solutions.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"It was abolished in 2012 with patient safety issues transferred to NHS England, and then to NHS Improvement in April 2016.","it was abolished in 2012 with patient safety issues transferred to nhs england, and then to nhs improvement in april 2016.","['it was abolished in 2012 with patient safety issues transferred to nhs england, and then to nhs improvement in april 2016.']","it was abolished in 2012 with patient safety issues transferred to nhs england, and then to nhs improvement in april 2016."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,Correct prescribing of methotrexate remains a key priority for the NHS.,correct prescribing of methotrexate remains a key priority for the nhs.,['correct prescribing of methotrexate remains a key priority for the nhs.'],correct prescribing of methotrexate remains a key priority for the nhs.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,It is one of only 16 targeted issues in the current NHS “Never Events” list ( Box 1 ).,it is one of only 16 targeted issues in the current nhs “never events” list ( box 1 ).,['it is one of only 16 targeted issues in the current nhs “never events” list ( box 1 ).'],it is one of only 16 targeted issues in the current nhs “never events” list ( box 1 ).
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"[ 5 ] In addition, NHS Improvement have issued further guidance on Never Events to supplement the work of the NPSA: here the correct prescribing of methotrexate is one of only 11 targeted issues.","[ 5 ] in addition, nhs improvement have issued further guidance on never events to supplement the work of the npsa: here the correct prescribing of methotrexate is one of only 11 targeted issues.","['[ 5 ] in addition, nhs improvement have issued further guidance on never events to supplement the work of the npsa: here the correct prescribing of methotrexate is one of only 11 targeted issues.']","[ 5 ] in addition, nhs improvement have issued further guidance on never events to supplement the work of the npsa: here the correct prescribing of methotrexate is one of only 11 targeted issues."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"[ 6 ] The NHS Improvement document states that: “All electronic prescribing and dispensing software programmes in primary and secondary care locations must include oral methotrexate alerts and prompts.” Surprisingly, however, there is no mention of monitoring compliance in routine data, or feeding back to practices and Clinical Commissioning Groups (CCGs - see box 1 ) if a breach of guidance is identified.","[ 6 ] the nhs improvement document states that: “all electronic prescribing and dispensing software programmes in primary and secondary care locations must include oral methotrexate alerts and prompts.” surprisingly, however, there is no mention of monitoring compliance in routine data, or feeding back to practices and clinical commissioning groups (ccgs - see box 1 ) if a breach of guidance is identified.","['[ 6 ] the nhs improvement document states that: “all electronic prescribing and dispensing software programmes in primary and secondary care locations must include oral methotrexate alerts and prompts.” surprisingly, however, there is no mention of monitoring compliance in routine data, or feeding back to practices and clinical commissioning groups (ccgs - see box 1 ) if a breach of guidance is identified.']","[ 6 ] the nhs improvement document states that: “all electronic prescribing and dispensing software programmes in primary and secondary care locations must include oral methotrexate alerts and prompts.” surprisingly, however, there is no mention of monitoring compliance in routine data, or feeding back to practices and clinical commissioning groups (ccgs - see box 1 ) if a breach of guidance is identified."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"Our OpenPrescribing.net service is a publicly funded and openly accessible explorer for NHS primary care prescribing data, launched in 2015, with 100,000 unique users in the past year including doctors, pharmacists and patients.","our openprescribing.net service is a publicly funded and openly accessible explorer for nhs primary care prescribing data, launched in 2015, with 100,000 unique users in the past year including doctors, pharmacists and patients.","['our openprescribing.net service is a publicly funded and openly accessible explorer for nhs primary care prescribing data, launched in 2015, with 100,000 unique users in the past year including doctors, pharmacists and patients.']","our openprescribing.net service is a publicly funded and openly accessible explorer for nhs primary care prescribing data, launched in 2015, with 100,000 unique users in the past year including doctors, pharmacists and patients."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,OpenPrescribing has a standard measure for methotrexate prescribing [ 7 ] showing the proportion prescribed in potentially dangerous 10mg tablet doses.,openprescribing has a standard measure for methotrexate prescribing [ 7 ] showing the proportion prescribed in potentially dangerous 10mg tablet doses.,['openprescribing has a standard measure for methotrexate prescribing [ 7 ] showing the proportion prescribed in potentially dangerous 10mg tablet doses.'],openprescribing has a standard measure for methotrexate prescribing [ 7 ] showing the proportion prescribed in potentially dangerous 10mg tablet doses.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,We have noted a substantial number of practices and CCGs are commonly in breach of best practice guidance around methotrexate.,we have noted a substantial number of practices and ccgs are commonly in breach of best practice guidance around methotrexate.,['we have noted a substantial number of practices and ccgs are commonly in breach of best practice guidance around methotrexate.'],we have noted a substantial number of practices and ccgs are commonly in breach of best practice guidance around methotrexate.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,We therefore set out to: describe the long-term trends in methotrexate prescribing over time; describe variation between practices and CCGs in their implementation of the safety guidance; describe and map current variation at CCG and practice level; and describe the harm associated with methotrexate errors at a national level.,we therefore set out to: describe the long-term trends in methotrexate prescribing over time; describe variation between practices and ccgs in their implementation of the safety guidance; describe and map current variation at ccg and practice level; and describe the harm associated with methotrexate errors at a national level.,['we therefore set out to: describe the long-term trends in methotrexate prescribing over time; describe variation between practices and ccgs in their implementation of the safety guidance; describe and map current variation at ccg and practice level; and describe the harm associated with methotrexate errors at a national level.'],we therefore set out to: describe the long-term trends in methotrexate prescribing over time; describe variation between practices and ccgs in their implementation of the safety guidance; describe and map current variation at ccg and practice level; and describe the harm associated with methotrexate errors at a national level.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"Introduction

Methotrexate is a folic acid antagonist, commonly prescribed for conditions such as rheumatoid arthritis, Crohn’s disease, severe psoriasis and some cancers.","introduction methotrexate is a folic acid antagonist, commonly prescribed for conditions such as rheumatoid arthritis, crohn’s disease, severe psoriasis and some cancers.","['introduction methotrexate is a folic acid antagonist, commonly prescribed for conditions such as rheumatoid arthritis, crohn’s disease, severe psoriasis and some cancers.']","introduction methotrexate is a folic acid antagonist, commonly prescribed for conditions such as rheumatoid arthritis, crohn’s disease, severe psoriasis and some cancers."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"Methotrexate has a narrow therapeutic index, and higher doses can result in potentially fatal adverse events including blood disorders, liver toxicity, and shortness of breath.","methotrexate has a narrow therapeutic index, and higher doses can result in potentially fatal adverse events including blood disorders, liver toxicity, and shortness of breath.","['methotrexate has a narrow therapeutic index, and higher doses can result in potentially fatal adverse events including blood disorders, liver toxicity, and shortness of breath.']","methotrexate has a narrow therapeutic index, and higher doses can result in potentially fatal adverse events including blood disorders, liver toxicity, and shortness of breath."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"[ 1 ] Due to its narrow therapeutic index, and an unusual once-weekly dosing regimen, this drug presents a particularly high risk of accidental overdose: patients may incorrectly take methotrexate on a daily basis; and overdose may occur due to dispensing or prescribing errors.","[ 1 ] due to its narrow therapeutic index, and an unusual once-weekly dosing regimen, this drug presents a particularly high risk of accidental overdose: patients may incorrectly take methotrexate on a daily basis; and overdose may occur due to dispensing or prescribing errors.","['[ 1 ] due to its narrow therapeutic index, and an unusual once-weekly dosing regimen, this drug presents a particularly high risk of accidental overdose: patients may incorrectly take methotrexate on a daily basis; and overdose may occur due to dispensing or prescribing errors.']","[ 1 ] due to its narrow therapeutic index, and an unusual once-weekly dosing regimen, this drug presents a particularly high risk of accidental overdose: patients may incorrectly take methotrexate on a daily basis; and overdose may occur due to dispensing or prescribing errors."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"The British National Formulary (BNF) states that methotrexate should only usually be prescribed in a single strength of tablet, usually 2.5mg, to reduce the risk of harm from errors.","the british national formulary (bnf) states that methotrexate should only usually be prescribed in a single strength of tablet, usually 2.5mg, to reduce the risk of harm from errors.","['the british national formulary (bnf) states that methotrexate should only usually be prescribed in a single strength of tablet, usually 2.5mg, to reduce the risk of harm from errors.']","the british national formulary (bnf) states that methotrexate should only usually be prescribed in a single strength of tablet, usually 2.5mg, to reduce the risk of harm from errors."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,An NHS inquiry was convened in 2000 following the death of a patient who had accidentally taken a high dose of methotrexate daily.,an nhs inquiry was convened in 2000 following the death of a patient who had accidentally taken a high dose of methotrexate daily.,['an nhs inquiry was convened in 2000 following the death of a patient who had accidentally taken a high dose of methotrexate daily.'],an nhs inquiry was convened in 2000 following the death of a patient who had accidentally taken a high dose of methotrexate daily.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,The inquiry made 28 recommendations to minimise the future risk of harm [ 2 ] and the (now defunct) National Patient Safety Agency (NPSA - see box 1 ) issued a national level patient safety alert in 2006 accompanied by a series of guides and recommendations to reduce the risk of harm to patients.,the inquiry made 28 recommendations to minimise the future risk of harm [ 2 ] and the (now defunct) national patient safety agency (npsa - see box 1 ) issued a national level patient safety alert in 2006 accompanied by a series of guides and recommendations to reduce the risk of harm to patients.,['the inquiry made 28 recommendations to minimise the future risk of harm [ 2 ] and the (now defunct) national patient safety agency (npsa - see box 1 ) issued a national level patient safety alert in 2006 accompanied by a series of guides and recommendations to reduce the risk of harm to patients.'],the inquiry made 28 recommendations to minimise the future risk of harm [ 2 ] and the (now defunct) national patient safety agency (npsa - see box 1 ) issued a national level patient safety alert in 2006 accompanied by a series of guides and recommendations to reduce the risk of harm to patients.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"[ 3 ] Similar incidents have occurred across Europe and due to the persistence of such issues, the European Medicines Agency (EMA) has launched a review of methotrexate dosing errors.","[ 3 ] similar incidents have occurred across europe and due to the persistence of such issues, the european medicines agency (ema) has launched a review of methotrexate dosing errors.","['[ 3 ] similar incidents have occurred across europe and due to the persistence of such issues, the european medicines agency (ema) has launched a review of methotrexate dosing errors.']","[ 3 ] similar incidents have occurred across europe and due to the persistence of such issues, the european medicines agency (ema) has launched a review of methotrexate dosing errors."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,There are approximately 200 CCGs in England.,there are approximately 200 ccgs in england.,['there are approximately 200 ccgs in england.'],there are approximately 200 ccgs in england.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,There are approximately 200 CCGs in England.,there are approximately 200 ccgs in england.,['there are approximately 200 ccgs in england.'],there are approximately 200 ccgs in england.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,European Medicines Agency (EMA) An agency of the Europeaan Union responsible for evaluation of medicines.,european medicines agency (ema) an agency of the europeaan union responsible for evaluation of medicines.,['european medicines agency (ema) an agency of the europeaan union responsible for evaluation of medicines.'],european medicines agency (ema) an agency of the europeaan union responsible for evaluation of medicines.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"European Medicines Agency (EMA)

An agency of the Europeaan Union responsible for evaluation of medicines.",european medicines agency (ema) an agency of the europeaan union responsible for evaluation of medicines.,['european medicines agency (ema) an agency of the europeaan union responsible for evaluation of medicines.'],european medicines agency (ema) an agency of the europeaan union responsible for evaluation of medicines.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,Office of National Statistics (ONS) the UK’s largest independent producer of official statistics.,office of national statistics (ons) the uk’s largest independent producer of official statistics.,['office of national statistics (ons) the uk’s largest independent producer of official statistics.'],office of national statistics (ons) the uk’s largest independent producer of official statistics.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"Office of National Statistics (ONS)

the UK’s largest independent producer of official statistics.",office of national statistics (ons) the uk’s largest independent producer of official statistics.,['office of national statistics (ons) the uk’s largest independent producer of official statistics.'],office of national statistics (ons) the uk’s largest independent producer of official statistics.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"NHS Business Services Authority an NHS body which calculates the remuneration and reimbursement due to pharmacies across England, and publishes data on prescribing.","nhs business services authority an nhs body which calculates the remuneration and reimbursement due to pharmacies across england, and publishes data on prescribing.","['nhs business services authority an nhs body which calculates the remuneration and reimbursement due to pharmacies across england, and publishes data on prescribing.']","nhs business services authority an nhs body which calculates the remuneration and reimbursement due to pharmacies across england, and publishes data on prescribing."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"NHS Business Services Authority

an NHS body which calculates the remuneration and reimbursement due to pharmacies across England, and publishes data on prescribing.","nhs business services authority an nhs body which calculates the remuneration and reimbursement due to pharmacies across england, and publishes data on prescribing.","['nhs business services authority an nhs body which calculates the remuneration and reimbursement due to pharmacies across england, and publishes data on prescribing.']","nhs business services authority an nhs body which calculates the remuneration and reimbursement due to pharmacies across england, and publishes data on prescribing."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,National Patient Safety Agency (NPSA) The NPSA was an arm’s length body of the Department of Health with a mandate to identify patient safety issues and find appropriate solutions.,national patient safety agency (npsa) the npsa was an arm’s length body of the department of health with a mandate to identify patient safety issues and find appropriate solutions.,['national patient safety agency (npsa) the npsa was an arm’s length body of the department of health with a mandate to identify patient safety issues and find appropriate solutions.'],national patient safety agency (npsa) the npsa was an arm’s length body of the department of health with a mandate to identify patient safety issues and find appropriate solutions.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"It was abolished in 2012 with patient safety issues transferred to NHS England, and then to NHS Improvement in April 2016.","it was abolished in 2012 with patient safety issues transferred to nhs england, and then to nhs improvement in april 2016.","['it was abolished in 2012 with patient safety issues transferred to nhs england, and then to nhs improvement in april 2016.']","it was abolished in 2012 with patient safety issues transferred to nhs england, and then to nhs improvement in april 2016."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"National Patient Safety Agency (NPSA)

The NPSA was an arm’s length body of the Department of Health with a mandate to identify patient safety issues and find appropriate solutions.",national patient safety agency (npsa) the npsa was an arm’s length body of the department of health with a mandate to identify patient safety issues and find appropriate solutions.,['national patient safety agency (npsa) the npsa was an arm’s length body of the department of health with a mandate to identify patient safety issues and find appropriate solutions.'],national patient safety agency (npsa) the npsa was an arm’s length body of the department of health with a mandate to identify patient safety issues and find appropriate solutions.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"It was abolished in 2012 with patient safety issues transferred to NHS England, and then to NHS Improvement in April 2016.","it was abolished in 2012 with patient safety issues transferred to nhs england, and then to nhs improvement in april 2016.","['it was abolished in 2012 with patient safety issues transferred to nhs england, and then to nhs improvement in april 2016.']","it was abolished in 2012 with patient safety issues transferred to nhs england, and then to nhs improvement in april 2016."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,Correct prescribing of methotrexate remains a key priority for the NHS.,correct prescribing of methotrexate remains a key priority for the nhs.,['correct prescribing of methotrexate remains a key priority for the nhs.'],correct prescribing of methotrexate remains a key priority for the nhs.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,It is one of only 16 targeted issues in the current NHS “Never Events” list ( Box 1 ).,it is one of only 16 targeted issues in the current nhs “never events” list ( box 1 ).,['it is one of only 16 targeted issues in the current nhs “never events” list ( box 1 ).'],it is one of only 16 targeted issues in the current nhs “never events” list ( box 1 ).
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"[ 5 ] In addition, NHS Improvement have issued further guidance on Never Events to supplement the work of the NPSA: here the correct prescribing of methotrexate is one of only 11 targeted issues.","[ 5 ] in addition, nhs improvement have issued further guidance on never events to supplement the work of the npsa: here the correct prescribing of methotrexate is one of only 11 targeted issues.","['[ 5 ] in addition, nhs improvement have issued further guidance on never events to supplement the work of the npsa: here the correct prescribing of methotrexate is one of only 11 targeted issues.']","[ 5 ] in addition, nhs improvement have issued further guidance on never events to supplement the work of the npsa: here the correct prescribing of methotrexate is one of only 11 targeted issues."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"[ 6 ] The NHS Improvement document states that: “All electronic prescribing and dispensing software programmes in primary and secondary care locations must include oral methotrexate alerts and prompts.” Surprisingly, however, there is no mention of monitoring compliance in routine data, or feeding back to practices and Clinical Commissioning Groups (CCGs - see box 1 ) if a breach of guidance is identified.","[ 6 ] the nhs improvement document states that: “all electronic prescribing and dispensing software programmes in primary and secondary care locations must include oral methotrexate alerts and prompts.” surprisingly, however, there is no mention of monitoring compliance in routine data, or feeding back to practices and clinical commissioning groups (ccgs - see box 1 ) if a breach of guidance is identified.","['[ 6 ] the nhs improvement document states that: “all electronic prescribing and dispensing software programmes in primary and secondary care locations must include oral methotrexate alerts and prompts.” surprisingly, however, there is no mention of monitoring compliance in routine data, or feeding back to practices and clinical commissioning groups (ccgs - see box 1 ) if a breach of guidance is identified.']","[ 6 ] the nhs improvement document states that: “all electronic prescribing and dispensing software programmes in primary and secondary care locations must include oral methotrexate alerts and prompts.” surprisingly, however, there is no mention of monitoring compliance in routine data, or feeding back to practices and clinical commissioning groups (ccgs - see box 1 ) if a breach of guidance is identified."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,"Our OpenPrescribing.net service is a publicly funded and openly accessible explorer for NHS primary care prescribing data, launched in 2015, with 100,000 unique users in the past year including doctors, pharmacists and patients.","our openprescribing.net service is a publicly funded and openly accessible explorer for nhs primary care prescribing data, launched in 2015, with 100,000 unique users in the past year including doctors, pharmacists and patients.","['our openprescribing.net service is a publicly funded and openly accessible explorer for nhs primary care prescribing data, launched in 2015, with 100,000 unique users in the past year including doctors, pharmacists and patients.']","our openprescribing.net service is a publicly funded and openly accessible explorer for nhs primary care prescribing data, launched in 2015, with 100,000 unique users in the past year including doctors, pharmacists and patients."
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,OpenPrescribing has a standard measure for methotrexate prescribing [ 7 ] showing the proportion prescribed in potentially dangerous 10mg tablet doses.,openprescribing has a standard measure for methotrexate prescribing [ 7 ] showing the proportion prescribed in potentially dangerous 10mg tablet doses.,['openprescribing has a standard measure for methotrexate prescribing [ 7 ] showing the proportion prescribed in potentially dangerous 10mg tablet doses.'],openprescribing has a standard measure for methotrexate prescribing [ 7 ] showing the proportion prescribed in potentially dangerous 10mg tablet doses.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,We have noted a substantial number of practices and CCGs are commonly in breach of best practice guidance around methotrexate.,we have noted a substantial number of practices and ccgs are commonly in breach of best practice guidance around methotrexate.,['we have noted a substantial number of practices and ccgs are commonly in breach of best practice guidance around methotrexate.'],we have noted a substantial number of practices and ccgs are commonly in breach of best practice guidance around methotrexate.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,We therefore set out to: describe the long-term trends in methotrexate prescribing over time; describe variation between practices and CCGs in their implementation of the safety guidance; describe and map current variation at CCG and practice level; and describe the harm associated with methotrexate errors at a national level.,we therefore set out to: describe the long-term trends in methotrexate prescribing over time; describe variation between practices and ccgs in their implementation of the safety guidance; describe and map current variation at ccg and practice level; and describe the harm associated with methotrexate errors at a national level.,['we therefore set out to: describe the long-term trends in methotrexate prescribing over time; describe variation between practices and ccgs in their implementation of the safety guidance; describe and map current variation at ccg and practice level; and describe the harm associated with methotrexate errors at a national level.'],we therefore set out to: describe the long-term trends in methotrexate prescribing over time; describe variation between practices and ccgs in their implementation of the safety guidance; describe and map current variation at ccg and practice level; and describe the harm associated with methotrexate errors at a national level.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,Methods Study design We analysed prescribing practice by conducting a retrospective cohort study in prescribing data from all English NHS general practices and CCGs.,methods study design we analysed prescribing practice by conducting a retrospective cohort study in prescribing data from all english nhs general practices and ccgs.,['methods study design we analysed prescribing practice by conducting a retrospective cohort study in prescribing data from all english nhs general practices and ccgs.'],methods study design we analysed prescribing practice by conducting a retrospective cohort study in prescribing data from all english nhs general practices and ccgs.
Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,medrxiv,We assessed harm associated with methotrexate by requesting information through Freedom of Information (FOI) requests to the Office for National Statistics (ONS - see box 1 ) and NHS Resolution (see - box 1 ).,we assessed harm associated with methotrexate by requesting information through freedom of information (foi) requests to the office for national statistics (ons - see box 1 ) and nhs resolution (see - box 1 ).,['we assessed harm associated with methotrexate by requesting information through freedom of information (foi) requests to the office for national statistics (ons - see box 1 ) and nhs resolution (see - box 1 ).'],we assessed harm associated with methotrexate by requesting information through freedom of information (foi) requests to the office for national statistics (ons - see box 1 ) and nhs resolution (see - box 1 ).
