title,source,sentence,normalized_text,sentence_list,candidate_blocks,candidate_block
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"We extracted and synthesized data on the characteristics, outcomes, and experiences of Malaria EWS.","we extracted and synthesized data on the characteristics, outcomes, and experiences of malaria ews.","['we extracted and synthesized data on the characteristics, outcomes, and experiences of malaria ews.']","['we extracted and synthesized data on the characteristics, outcomes, and experiences of malaria ews.']","we extracted and synthesized data on the characteristics, outcomes, and experiences of malaria ews."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"ResultsAfter reviewing 5,535 records, we identified 30 studies from 16 countries that met our inclusion criteria.","resultsafter reviewing 5,535 records, we identified 30 studies from 16 countries that met our inclusion criteria.","['resultsafter reviewing 5,535 records, we identified 30 studies from 16 countries that met our inclusion criteria.']","['resultsafter reviewing 5,535 records, we identified 30 studies from 16 countries that met our inclusion criteria.']","resultsafter reviewing 5,535 records, we identified 30 studies from 16 countries that met our inclusion criteria."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"The studies employed various statistical and machine-learning models to forecast malaria cases, often incorporating environmental covariates such as rainfall and temperature.","the studies employed various statistical and machine-learning models to forecast malaria cases, often incorporating environmental covariates such as rainfall and temperature.","['the studies employed various statistical and machine-learning models to forecast malaria cases, often incorporating environmental covariates such as rainfall and temperature.']","['the studies employed various statistical and machine-learning models to forecast malaria cases, often incorporating environmental covariates such as rainfall and temperature.']","the studies employed various statistical and machine-learning models to forecast malaria cases, often incorporating environmental covariates such as rainfall and temperature."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,The most common mode used is the time series model.,the most common mode used is the time series model.,['the most common mode used is the time series model.'],['the most common mode used is the time series model.'],the most common mode used is the time series model.
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"The performance of the models was assessed using measures such as the Akaike Information Criterion( AIC), Root Mean Square Error (RMSE), and adjusted R squared(R 2).","the performance of the models was assessed using measures such as the akaike information criterion( aic), root mean square error (rmse), and adjusted r squared(r 2).","['the performance of the models was assessed using measures such as the akaike information criterion( aic), root mean square error (rmse), and adjusted r squared(r 2).']","['the performance of the models was assessed using measures such as the akaike information criterion( aic), root mean square error (rmse), and adjusted r squared(r 2).']","the performance of the models was assessed using measures such as the akaike information criterion( aic), root mean square error (rmse), and adjusted r squared(r 2)."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,The lack of standardized criteria and methodologies limited the evaluation of EWS impact.,the lack of standardized criteria and methodologies limited the evaluation of ews impact.,['the lack of standardized criteria and methodologies limited the evaluation of ews impact.'],['the lack of standardized criteria and methodologies limited the evaluation of ews impact.'],the lack of standardized criteria and methodologies limited the evaluation of ews impact.
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"ConclusionsThis review provides a comprehensive overview of the current status of Malaria EWS, highlighting the progress, challenges, and gaps in the field.","conclusionsthis review provides a comprehensive overview of the current status of malaria ews, highlighting the progress, challenges, and gaps in the field.","['conclusionsthis review provides a comprehensive overview of the current status of malaria ews, highlighting the progress, challenges, and gaps in the field.']","['conclusionsthis review provides a comprehensive overview of the current status of malaria ews, highlighting the progress, challenges, and gaps in the field.']","conclusionsthis review provides a comprehensive overview of the current status of malaria ews, highlighting the progress, challenges, and gaps in the field."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"The review informs and guides policymakers, researchers, and practitioners in enhancing EWS and malaria control strategies.","the review informs and guides policymakers, researchers, and practitioners in enhancing ews and malaria control strategies.","['the review informs and guides policymakers, researchers, and practitioners in enhancing ews and malaria control strategies.']","['the review informs and guides policymakers, researchers, and practitioners in enhancing ews and malaria control strategies.']","the review informs and guides policymakers, researchers, and practitioners in enhancing ews and malaria control strategies."
"Advancing Early Warning Systems for Malaria: Progress, Challenges, and Future Directions - A Scoping Review",medrxiv,"The review also underscores the need for further research on the integration, sustainability, and evaluation of Malaria EWS usage and harmonized methods to ease review.","the review also underscores the need for further research on the integration, sustainability, and evaluation of malaria ews usage and harmonized methods to ease review.","['the review also underscores the need for further research on the integration, sustainability, and evaluation of malaria ews usage and harmonized methods to ease review.']","['the review also underscores the need for further research on the integration, sustainability, and evaluation of malaria ews usage and harmonized methods to ease review.']","the review also underscores the need for further research on the integration, sustainability, and evaluation of malaria ews usage and harmonized methods to ease review."
Understanding the primary healthcare context in rural South and Southeast Asia: a village profiling study,medrxiv,"Understanding the primary healthcare context in rural South and Southeast Asia: a village profiling study

The use of comprehensive village profiles is one way of characterising contextual factors important for the implementation of primary healthcare interventions and service planning in rural areas.",understanding the primary healthcare context in rural south and southeast asia: a village profiling study the use of comprehensive village profiles is one way of characterising contextual factors important for the implementation of primary healthcare interventions and service planning in rural areas.,['understanding the primary healthcare context in rural south and southeast asia: a village profiling study the use of comprehensive village profiles is one way of characterising contextual factors important for the implementation of primary healthcare interventions and service planning in rural areas.'],['understanding the primary healthcare context in rural south and southeast asia: a village profiling study the use of comprehensive village profiles is one way of characterising contextual factors important for the implementation of primary healthcare interventions and service planning in rural areas.'],understanding the primary healthcare context in rural south and southeast asia: a village profiling study the use of comprehensive village profiles is one way of characterising contextual factors important for the implementation of primary healthcare interventions and service planning in rural areas.
Understanding the primary healthcare context in rural South and Southeast Asia: a village profiling study,medrxiv,"This study aimed to address this gap, as well as compare high-level data from representative under-served and understudied villages across seven sites in five countries (Thailand (n=3), Cambodia, Laos, Myanmar, and Bangladesh).","this study aimed to address this gap, as well as compare high-level data from representative under-served and understudied villages across seven sites in five countries (thailand (n=3), cambodia, laos, myanmar, and bangladesh).","['this study aimed to address this gap, as well as compare high-level data from representative under-served and understudied villages across seven sites in five countries (thailand (n=3), cambodia, laos, myanmar, and bangladesh).']","['this study aimed to address this gap, as well as compare high-level data from representative under-served and understudied villages across seven sites in five countries (thailand (n=3), cambodia, laos, myanmar, and bangladesh).']","this study aimed to address this gap, as well as compare high-level data from representative under-served and understudied villages across seven sites in five countries (thailand (n=3), cambodia, laos, myanmar, and bangladesh)."
Understanding the primary healthcare context in rural South and Southeast Asia: a village profiling study,medrxiv,A survey-based approach using key informants supplemented by other relevant information sources was used to collect data from 687 of 707 villages participating in the South and Southeast Asian Community-based Trials Network.,a survey-based approach using key informants supplemented by other relevant information sources was used to collect data from 687 of 707 villages participating in the south and southeast asian community-based trials network.,['a survey-based approach using key informants supplemented by other relevant information sources was used to collect data from 687 of 707 villages participating in the south and southeast asian community-based trials network.'],['a survey-based approach using key informants supplemented by other relevant information sources was used to collect data from 687 of 707 villages participating in the south and southeast asian community-based trials network.'],a survey-based approach using key informants supplemented by other relevant information sources was used to collect data from 687 of 707 villages participating in the south and southeast asian community-based trials network.
Understanding the primary healthcare context in rural South and Southeast Asia: a village profiling study,medrxiv,"Data on four key health and socio-economic indicators (literacy rate, percentage of attended deliveries, percentage of fully-immunised children, and percentage of latrine coverage) as well as access to health services, public utilities, and education were collected and analysed using descriptive statistics.","data on four key health and socio-economic indicators (literacy rate, percentage of attended deliveries, percentage of fully-immunised children, and percentage of latrine coverage) as well as access to health services, public utilities, and education were collected and analysed using descriptive statistics.","['data on four key health and socio-economic indicators (literacy rate, percentage of attended deliveries, percentage of fully-immunised children, and percentage of latrine coverage) as well as access to health services, public utilities, and education were collected and analysed using descriptive statistics.']","['data on four key health and socio-economic indicators (literacy rate, percentage of attended deliveries, percentage of fully-immunised children, and percentage of latrine coverage) as well as access to health services, public utilities, and education were collected and analysed using descriptive statistics.']","data on four key health and socio-economic indicators (literacy rate, percentage of attended deliveries, percentage of fully-immunised children, and percentage of latrine coverage) as well as access to health services, public utilities, and education were collected and analysed using descriptive statistics."
Understanding the primary healthcare context in rural South and Southeast Asia: a village profiling study,medrxiv,"There was considerable variation between sites in terms of health and socio-economic indicators given that the countries are at different stages of development, and also between the three sites in Thailand.","there was considerable variation between sites in terms of health and socio-economic indicators given that the countries are at different stages of development, and also between the three sites in thailand.","['there was considerable variation between sites in terms of health and socio-economic indicators given that the countries are at different stages of development, and also between the three sites in thailand.']","['there was considerable variation between sites in terms of health and socio-economic indicators given that the countries are at different stages of development, and also between the three sites in thailand.']","there was considerable variation between sites in terms of health and socio-economic indicators given that the countries are at different stages of development, and also between the three sites in thailand."
Understanding the primary healthcare context in rural South and Southeast Asia: a village profiling study,medrxiv,"Five of the seven sites were highly diverse ethno-culturally and linguistically, and all were reliant on primary health centres as well as village health workers/village malaria workers as the main providers of primary healthcare.","five of the seven sites were highly diverse ethno-culturally and linguistically, and all were reliant on primary health centres as well as village health workers/village malaria workers as the main providers of primary healthcare.","['five of the seven sites were highly diverse ethno-culturally and linguistically, and all were reliant on primary health centres as well as village health workers/village malaria workers as the main providers of primary healthcare.']","['five of the seven sites were highly diverse ethno-culturally and linguistically, and all were reliant on primary health centres as well as village health workers/village malaria workers as the main providers of primary healthcare.']","five of the seven sites were highly diverse ethno-culturally and linguistically, and all were reliant on primary health centres as well as village health workers/village malaria workers as the main providers of primary healthcare."
Understanding the primary healthcare context in rural South and Southeast Asia: a village profiling study,medrxiv,These were generally bypassed by severely ill patients in favour of first-level referral hospitals and private sector facilities in towns.,these were generally bypassed by severely ill patients in favour of first-level referral hospitals and private sector facilities in towns.,['these were generally bypassed by severely ill patients in favour of first-level referral hospitals and private sector facilities in towns.'],['these were generally bypassed by severely ill patients in favour of first-level referral hospitals and private sector facilities in towns.'],these were generally bypassed by severely ill patients in favour of first-level referral hospitals and private sector facilities in towns.
Understanding the primary healthcare context in rural South and Southeast Asia: a village profiling study,medrxiv,Over 70% of villages at each site had mobile phone coverage and availability of electricity was high ([&ge;]65% at all sites bar Myanmar).,over 70% of villages at each site had mobile phone coverage and availability of electricity was high ([&ge;]65% at all sites bar myanmar).,['over 70% of villages at each site had mobile phone coverage and availability of electricity was high ([&ge;]65% at all sites bar myanmar).'],['over 70% of villages at each site had mobile phone coverage and availability of electricity was high ([&ge;]65% at all sites bar myanmar).'],over 70% of villages at each site had mobile phone coverage and availability of electricity was high ([&ge;]65% at all sites bar myanmar).
Population Genomics of Plasmodium malariae from Four African Countries,medrxiv,"Population Genomics of Plasmodium malariae from Four African Countries

Plasmodium malariae is geographically widespread but neglected and may become more prevalent as P. falciparum declines.",population genomics of plasmodium malariae from four african countries plasmodium malariae is geographically widespread but neglected and may become more prevalent as p. falciparum declines.,"['population genomics of plasmodium malariae from four african countries plasmodium malariae is geographically widespread but neglected and may become more prevalent as p.', 'falciparum declines.']",['population genomics of plasmodium malariae from four african countries plasmodium malariae is geographically widespread but neglected and may become more prevalent as p. falciparum declines.'],population genomics of plasmodium malariae from four african countries plasmodium malariae is geographically widespread but neglected and may become more prevalent as p. falciparum declines.
Population Genomics of Plasmodium malariae from Four African Countries,medrxiv,"We completed the largest genomic study of African P. malariae to-date by performing hybrid capture and sequencing of 77 isolates from Cameroon (n=7), the Democratic Republic of the Congo (n=16), Nigeria (n=4), and Tanzania (n=50) collected between 2015 and 2021.","we completed the largest genomic study of african p. malariae to-date by performing hybrid capture and sequencing of 77 isolates from cameroon (n=7), the democratic republic of the congo (n=16), nigeria (n=4), and tanzania (n=50) collected between 2015 and 2021.","['we completed the largest genomic study of african p.', 'malariae to-date by performing hybrid capture and sequencing of 77 isolates from cameroon (n=7), the democratic republic of the congo (n=16), nigeria (n=4), and tanzania (n=50) collected between 2015 and 2021.']","['we completed the largest genomic study of african p. malariae to-date by performing hybrid capture and sequencing of 77 isolates from cameroon (n=7), the democratic republic of the congo (n=16), nigeria (n=4), and tanzania (n=50) collected between 2015 and 2021.']","we completed the largest genomic study of african p. malariae to-date by performing hybrid capture and sequencing of 77 isolates from cameroon (n=7), the democratic republic of the congo (n=16), nigeria (n=4), and tanzania (n=50) collected between 2015 and 2021."
Population Genomics of Plasmodium malariae from Four African Countries,medrxiv,"Nucleotide diversity was significantly lower than in co-localized P. falciparum isolates, while linkage disequilibrium was significantly higher.","nucleotide diversity was significantly lower than in co-localized p. falciparum isolates, while linkage disequilibrium was significantly higher.","['nucleotide diversity was significantly lower than in co-localized p.', 'falciparum isolates, while linkage disequilibrium was significantly higher.']","['nucleotide diversity was significantly lower than in co-localized p. falciparum isolates, while linkage disequilibrium was significantly higher.']","nucleotide diversity was significantly lower than in co-localized p. falciparum isolates, while linkage disequilibrium was significantly higher."
Population Genomics of Plasmodium malariae from Four African Countries,medrxiv,"Genome-wide selection scans identified no erythrocyte invasion ligands or antimalarial resistance orthologs as top hits; however, targeted analyses of these loci revealed evidence of selective sweeps around four erythrocyte invasion ligands and six antimalarial resistance orthologs.","genome-wide selection scans identified no erythrocyte invasion ligands or antimalarial resistance orthologs as top hits; however, targeted analyses of these loci revealed evidence of selective sweeps around four erythrocyte invasion ligands and six antimalarial resistance orthologs.","['genome-wide selection scans identified no erythrocyte invasion ligands or antimalarial resistance orthologs as top hits; however, targeted analyses of these loci revealed evidence of selective sweeps around four erythrocyte invasion ligands and six antimalarial resistance orthologs.']","['genome-wide selection scans identified no erythrocyte invasion ligands or antimalarial resistance orthologs as top hits; however, targeted analyses of these loci revealed evidence of selective sweeps around four erythrocyte invasion ligands and six antimalarial resistance orthologs.']","genome-wide selection scans identified no erythrocyte invasion ligands or antimalarial resistance orthologs as top hits; however, targeted analyses of these loci revealed evidence of selective sweeps around four erythrocyte invasion ligands and six antimalarial resistance orthologs."
Population Genomics of Plasmodium malariae from Four African Countries,medrxiv,Demographic inference modeling suggests that African P. malariae is recovering from a bottleneck.,demographic inference modeling suggests that african p. malariae is recovering from a bottleneck.,"['demographic inference modeling suggests that african p.', 'malariae is recovering from a bottleneck.']",['demographic inference modeling suggests that african p. malariae is recovering from a bottleneck.'],demographic inference modeling suggests that african p. malariae is recovering from a bottleneck.
Population Genomics of Plasmodium malariae from Four African Countries,medrxiv,"Altogether, these results suggest that P. malariae is genomically atypical among human Plasmodium spp.","altogether, these results suggest that p. malariae is genomically atypical among human plasmodium spp.","['altogether, these results suggest that p.', 'malariae is genomically atypical among human plasmodium spp.']","['altogether, these results suggest that p. malariae is genomically atypical among human plasmodium spp.']","altogether, these results suggest that p. malariae is genomically atypical among human plasmodium spp."
Population Genomics of Plasmodium malariae from Four African Countries,medrxiv,and panmictic in Africa.,and panmictic in africa.,['and panmictic in africa.'],['and panmictic in africa.'],and panmictic in africa.
Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy,medrxiv,"Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy

IntroductionUnderstanding the holistic impact of malaria during pregnancy is essential for improving maternal and child outcomes in malaria endemic settings.",co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy introductionunderstanding the holistic impact of malaria during pregnancy is essential for improving maternal and child outcomes in malaria endemic settings.,['co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy introductionunderstanding the holistic impact of malaria during pregnancy is essential for improving maternal and child outcomes in malaria endemic settings.'],['co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy introductionunderstanding the holistic impact of malaria during pregnancy is essential for improving maternal and child outcomes in malaria endemic settings.'],co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy introductionunderstanding the holistic impact of malaria during pregnancy is essential for improving maternal and child outcomes in malaria endemic settings.
Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy,medrxiv,This study aimed to illustrate a methodology to co-develop a disease model with expert stakeholders using malaria during pregnancy as a case study.,this study aimed to illustrate a methodology to co-develop a disease model with expert stakeholders using malaria during pregnancy as a case study.,['this study aimed to illustrate a methodology to co-develop a disease model with expert stakeholders using malaria during pregnancy as a case study.'],['this study aimed to illustrate a methodology to co-develop a disease model with expert stakeholders using malaria during pregnancy as a case study.'],this study aimed to illustrate a methodology to co-develop a disease model with expert stakeholders using malaria during pregnancy as a case study.
Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy,medrxiv,MethodsAn initial steering group was convened to develop a first model of malaria during pregnancy and its consequences for mother and child based on their understanding of the literature.,methodsan initial steering group was convened to develop a first model of malaria during pregnancy and its consequences for mother and child based on their understanding of the literature.,['methodsan initial steering group was convened to develop a first model of malaria during pregnancy and its consequences for mother and child based on their understanding of the literature.'],['methodsan initial steering group was convened to develop a first model of malaria during pregnancy and its consequences for mother and child based on their understanding of the literature.'],methodsan initial steering group was convened to develop a first model of malaria during pregnancy and its consequences for mother and child based on their understanding of the literature.
Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy,medrxiv,"Subsequently, this model was refined using a Delphi process to gain consensus amongst twelve experts, representing the disciplines of health economics, mathematical modelling, epidemiology and clinical medicine, working in the field of malaria during pregnancy.","subsequently, this model was refined using a delphi process to gain consensus amongst twelve experts, representing the disciplines of health economics, mathematical modelling, epidemiology and clinical medicine, working in the field of malaria during pregnancy.","['subsequently, this model was refined using a delphi process to gain consensus amongst twelve experts, representing the disciplines of health economics, mathematical modelling, epidemiology and clinical medicine, working in the field of malaria during pregnancy.']","['subsequently, this model was refined using a delphi process to gain consensus amongst twelve experts, representing the disciplines of health economics, mathematical modelling, epidemiology and clinical medicine, working in the field of malaria during pregnancy.']","subsequently, this model was refined using a delphi process to gain consensus amongst twelve experts, representing the disciplines of health economics, mathematical modelling, epidemiology and clinical medicine, working in the field of malaria during pregnancy."
Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy,medrxiv,Experts reviewed drafts of the conceptual model and provided feedback in two rounds of semi-structured questionnaires with the aim of identifying the most important health outcomes and relationships in both mother and child as well as the most relevant stratifiers for the model.,experts reviewed drafts of the conceptual model and provided feedback in two rounds of semi-structured questionnaires with the aim of identifying the most important health outcomes and relationships in both mother and child as well as the most relevant stratifiers for the model.,['experts reviewed drafts of the conceptual model and provided feedback in two rounds of semi-structured questionnaires with the aim of identifying the most important health outcomes and relationships in both mother and child as well as the most relevant stratifiers for the model.'],['experts reviewed drafts of the conceptual model and provided feedback in two rounds of semi-structured questionnaires with the aim of identifying the most important health outcomes and relationships in both mother and child as well as the most relevant stratifiers for the model.'],experts reviewed drafts of the conceptual model and provided feedback in two rounds of semi-structured questionnaires with the aim of identifying the most important health outcomes and relationships in both mother and child as well as the most relevant stratifiers for the model.
Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy,medrxiv,"ResultsThe final model is a comprehensive disease model of malaria during pregnancy, including ten maternal and ten child outcomes with four stratifiers.","resultsthe final model is a comprehensive disease model of malaria during pregnancy, including ten maternal and ten child outcomes with four stratifiers.","['resultsthe final model is a comprehensive disease model of malaria during pregnancy, including ten maternal and ten child outcomes with four stratifiers.']","['resultsthe final model is a comprehensive disease model of malaria during pregnancy, including ten maternal and ten child outcomes with four stratifiers.']","resultsthe final model is a comprehensive disease model of malaria during pregnancy, including ten maternal and ten child outcomes with four stratifiers."
Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy,medrxiv,"The model developed in this study should be of value to malaria researchers, funders, evaluators and decision makers, though some adaptation will be required for each specific context and purpose.","the model developed in this study should be of value to malaria researchers, funders, evaluators and decision makers, though some adaptation will be required for each specific context and purpose.","['the model developed in this study should be of value to malaria researchers, funders, evaluators and decision makers, though some adaptation will be required for each specific context and purpose.']","['the model developed in this study should be of value to malaria researchers, funders, evaluators and decision makers, though some adaptation will be required for each specific context and purpose.']","the model developed in this study should be of value to malaria researchers, funders, evaluators and decision makers, though some adaptation will be required for each specific context and purpose."
Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy,medrxiv,Discussion & ConclusionThe model resulting from this study highlights the complexity required to depict appropriately the consequences of malaria during pregnancy for both the mother and the child.,discussion & conclusionthe model resulting from this study highlights the complexity required to depict appropriately the consequences of malaria during pregnancy for both the mother and the child.,['discussion & conclusionthe model resulting from this study highlights the complexity required to depict appropriately the consequences of malaria during pregnancy for both the mother and the child.'],['discussion & conclusionthe model resulting from this study highlights the complexity required to depict appropriately the consequences of malaria during pregnancy for both the mother and the child.'],discussion & conclusionthe model resulting from this study highlights the complexity required to depict appropriately the consequences of malaria during pregnancy for both the mother and the child.
Co-developing a comprehensive disease policy model with stakeholders: the case of malaria during pregnancy,medrxiv,"FundingThis study from part of the IMPROVE and IMPROVE-2 studies, which received financial support from the EDCTP2 programme under Horizon 2020 (TRIA.2015-1076, TRIA.2015-1076b); the UK Department of Health and Social Care, the UK Foreign Commonwealth and Development Office, the UK Medical Research Council, and Wellcome Trust, through the Joint Global Health Trials scheme (MR/P006922/1); and the Swedish International Development Cooperation Agency.","fundingthis study from part of the improve and improve-2 studies, which received financial support from the edctp2 programme under horizon 2020 (tria.2015-1076, tria.2015-1076b); the uk department of health and social care, the uk foreign commonwealth and development office, the uk medical research council, and wellcome trust, through the joint global health trials scheme (mr/p006922/1); and the swedish international development cooperation agency.","['fundingthis study from part of the improve and improve-2 studies, which received financial support from the edctp2 programme under horizon 2020 (tria.2015-1076, tria.2015-1076b); the uk department of health and social care, the uk foreign commonwealth and development office, the uk medical research council, and wellcome trust, through the joint global health trials scheme (mr/p006922/1); and the swedish international development cooperation agency.']","['fundingthis study from part of the improve and improve-2 studies, which received financial support from the edctp2 programme under horizon 2020 (tria.2015-1076, tria.2015-1076b); the uk department of health and social care, the uk foreign commonwealth and development office, the uk medical research council, and wellcome trust, through the joint global health trials scheme (mr/p006922/1); and the swedish international development cooperation agency.']","fundingthis study from part of the improve and improve-2 studies, which received financial support from the edctp2 programme under horizon 2020 (tria.2015-1076, tria.2015-1076b); the uk department of health and social care, the uk foreign commonwealth and development office, the uk medical research council, and wellcome trust, through the joint global health trials scheme (mr/p006922/1); and the swedish international development cooperation agency."
